CO,Benzene,NO2,Temperature,Humidity(%),Datetime
4.1,-200.0,170,-200.0,-200.0,2004-12-16 13:00:00
-200.0,11.8,-200,12.5,42.3,2004-09-11 13:00:00
-200.0,6.7,-200,20.3,77.2,2004-09-14 20:00:00
4.1,28.0,91,20.4,66.7,2004-10-22 08:00:00
1.3,5.5,68,25.4,39.2,2004-06-14 13:00:00
-200.0,9.3,-200,29.1,33.6,2004-08-17 21:00:00
2.9,11.6,125,12.3,55.5,2004-10-04 22:00:00
-200.0,7.2,-200,14.8,57.3,2004-10-13 20:00:00
1.7,7.5,96,20.9,42.6,2004-06-06 22:00:00
3.2,19.0,136,12.1,67.6,2005-11-01 08:00:00
2.5,7.9,151,7.8,54.6,2005-01-01 20:00:00
-200.0,-200.0,-200,-200.0,-200.0,2004-05-26 05:00:00
1.3,8.5,92,19.8,64.3,2004-01-09 06:00:00
-200.0,14.1,-200,31.8,30.5,2004-08-31 12:00:00
1.8,7.6,82,19.4,46.1,2004-03-21 12:00:00
-200.0,3.6,-200,38.3,10.0,2004-08-22 16:00:00
0.5,2.0,50,18.4,53.4,2004-07-13 02:00:00
0.7,1.7,73,10.5,42.9,2004-03-30 02:00:00
2.4,13.6,134,33.5,27.2,2004-10-06 11:00:00
3.0,16.1,130,23.6,31.3,2004-02-04 13:00:00
1.2,3.0,99,8.4,55.7,2004-11-14 19:00:00
2.7,12.8,112,15.3,63.1,2004-06-12 21:00:00
1.5,7.0,81,4.2,69.0,2004-12-12 06:00:00
-200.0,4.4,-200,19.2,87.2,2004-09-14 23:00:00
0.4,1.4,30,20.4,71.2,2004-10-31 07:00:00
1.5,4.4,90,12.5,71.9,2004-05-12 20:00:00
1.7,8.8,90,28.3,21.3,2004-07-13 16:00:00
3.1,15.7,166,20.2,42.1,2005-03-22 11:00:00
2.0,9.1,208,11.4,48.9,2005-02-22 12:00:00
0.8,1.4,-200,3.5,48.0,2005-01-28 03:00:00
-200.0,6.2,-200,18.1,68.5,2004-06-10 06:00:00
2.6,14.1,100,23.7,46.0,2004-06-25 00:00:00
1.8,7.8,112,17.8,21.0,2004-11-12 16:00:00
0.4,0.8,39,11.7,38.1,2004-10-12 06:00:00
1.9,9.6,90,21.0,29.6,2004-03-22 12:00:00
-200.0,10.9,-200,27.4,31.0,2004-03-06 11:00:00
4.1,17.2,196,4.4,58.8,2005-01-02 10:00:00
-200.0,12.8,-200,21.4,28.7,2004-04-14 14:00:00
1.6,8.2,83,32.9,24.9,2004-08-23 11:00:00
1.1,5.8,55,25.4,55.1,2004-08-08 01:00:00
7.2,25.0,187,17.3,58.2,2004-11-19 18:00:00
1.8,9.7,126,39.6,23.3,2004-10-08 17:00:00
-200.0,17.7,-200,16.8,57.8,2004-10-18 09:00:00
1.8,8.8,86,19.4,54.6,2004-01-05 09:00:00
3.5,22.8,235,8.5,49.6,2004-11-22 16:00:00
-200.0,32.1,-200,21.8,61.8,2004-09-13 08:00:00
2.1,8.9,113,13.8,58.0,2004-03-20 08:00:00
4.0,21.6,188,27.2,26.3,2004-09-29 17:00:00
4.7,22.1,125,17.2,68.3,2004-04-05 19:00:00
3.8,25.5,120,26.6,42.8,2004-07-23 08:00:00
0.4,1.3,36,21.4,47.8,2004-06-13 07:00:00
3.4,-200.0,158,-200.0,-200.0,2005-03-01 01:00:00
2.6,9.6,226,4.3,78.9,2005-02-23 22:00:00
3.6,21.8,165,31.5,27.8,2004-07-07 21:00:00
3.1,15.4,137,13.3,50.9,2004-11-25 19:00:00
0.7,1.3,57,6.8,52.9,2005-06-03 04:00:00
-200.0,9.8,-200,13.4,67.4,2004-10-05 06:00:00
0.9,4.0,67,15.7,45.9,2004-07-04 00:00:00
2.8,15.7,92,21.6,61.4,2004-10-23 10:00:00
-200.0,3.3,-200,10.6,59.9,2004-12-29 11:00:00
0.4,2.9,41,24.5,38.5,2004-10-09 04:00:00
3.4,14.7,146,16.7,49.6,2004-03-14 21:00:00
1.7,9.3,90,15.9,73.1,2004-04-30 06:00:00
0.5,2.6,49,21.7,67.4,2004-09-16 02:00:00
1.5,6.5,73,17.7,62.0,2004-01-05 08:00:00
3.3,17.1,112,20.4,57.0,2004-06-11 12:00:00
2.2,8.8,126,8.3,79.8,2004-11-03 15:00:00
2.5,10.0,202,10.9,34.9,2005-02-19 19:00:00
4.8,17.6,250,8.3,40.3,2005-02-18 20:00:00
0.8,6.1,-200,22.2,52.7,2004-04-07 03:00:00
-200.0,5.4,-200,17.8,44.4,2004-09-05 17:00:00
2.9,11.0,90,12.1,79.4,2004-04-12 02:00:00
-200.0,0.7,-200,14.3,58.4,2004-10-13 05:00:00
-200.0,6.0,-200,15.4,57.7,2004-12-10 20:00:00
4.4,20.1,149,12.1,53.3,2004-12-03 21:00:00
2.2,8.6,225,8.7,36.3,2005-08-02 10:00:00
2.1,7.3,174,4.7,47.2,2005-01-28 14:00:00
2.3,9.8,95,14.3,63.3,2004-08-12 11:00:00
-200.0,9.1,-200,20.4,42.2,2004-10-14 10:00:00
1.1,3.4,78,15.6,37.5,2004-11-04 20:00:00
1.5,5.3,-200,7.3,85.7,2004-09-11 22:00:00
3.4,17.1,88,19.2,73.4,2004-11-10 10:00:00
1.5,6.9,105,22.1,43.0,2004-09-17 21:00:00
1.3,3.6,96,4.5,63.6,2005-02-01 02:00:00
1.4,5.0,116,1.9,35.0,2005-01-03 18:00:00
-200.0,10.1,101,37.7,21.8,2004-07-30 13:00:00
2.7,11.8,120,12.8,52.0,2004-04-13 09:00:00
1.1,5.6,58,21.9,52.7,2004-06-06 00:00:00
0.5,2.5,58,22.9,57.5,2004-09-23 05:00:00
2.5,13.4,136,16.8,37.6,2004-11-25 15:00:00
0.9,3.8,28,17.2,33.9,2004-07-11 15:00:00
0.8,3.4,34,35.4,32.4,2004-07-24 14:00:00
1.8,9.4,103,29.4,32.9,2004-06-17 13:00:00
-200.0,2.8,47,16.5,50.2,2004-05-21 04:00:00
4.1,27.9,141,26.9,34.4,2004-07-07 08:00:00
3.3,18.9,158,13.0,53.9,2005-03-15 09:00:00
1.5,10.4,180,7.8,39.7,2005-01-24 18:00:00
2.2,12.0,107,33.6,24.4,2004-06-16 15:00:00
1.2,4.5,124,10.0,25.2,2005-07-03 14:00:00
1.5,6.9,140,3.4,58.5,2005-01-18 07:00:00
-200.0,15.8,-200,21.8,39.6,2004-04-20 13:00:00
0.8,4.7,-200,23.0,52.7,2004-04-09 04:00:00
2.1,12.0,114,21.2,18.9,2004-05-24 19:00:00
-200.0,12.9,-200,27.9,54.9,2004-08-20 08:00:00
0.7,2.7,65,24.4,29.6,2004-06-13 12:00:00
4.2,19.0,205,14.7,38.9,2004-11-17 13:00:00
3.8,13.6,165,5.2,67.8,2005-01-16 00:00:00
1.0,7.7,160,13.5,51.6,2005-03-13 11:00:00
3.0,19.3,211,11.1,38.4,2005-11-03 10:00:00
0.7,4.6,64,22.3,55.8,2004-09-24 02:00:00
1.1,6.4,86,16.0,56.5,2004-10-05 23:00:00
2.7,10.1,89,11.2,78.3,2004-11-27 23:00:00
2.3,8.1,86,9.8,81.4,2004-11-29 02:00:00
4.6,24.7,146,19.3,46.4,2004-04-28 09:00:00
-200.0,35.0,-200,23.8,29.5,2004-04-22 19:00:00
4.3,12.9,229,5.3,66.8,2005-12-02 01:00:00
1.4,5.4,89,15.3,62.1,2004-03-21 09:00:00
-200.0,11.2,115,35.8,28.7,2004-05-08 11:00:00
-200.0,24.5,-200,17.6,64.9,2004-10-19 10:00:00
3.6,14.0,161,18.4,33.8,2004-03-13 12:00:00
1.5,5.3,89,16.4,40.8,2004-04-26 22:00:00
2.4,16.8,102,30.2,20.5,2004-03-05 16:00:00
0.6,2.5,56,20.0,59.3,2004-08-28 04:00:00
-200.0,10.9,-200,17.1,54.2,2004-12-10 17:00:00
3.0,12.5,134,5.2,73.1,2004-12-19 14:00:00
0.7,2.5,14,15.7,51.1,2004-09-25 08:00:00
4.8,28.9,142,30.3,26.2,2004-07-06 19:00:00
-200.0,2.1,-200,13.0,78.2,2004-04-19 04:00:00
4.2,21.5,150,16.3,28.8,2004-03-30 09:00:00
0.3,5.8,128,18.0,35.4,2005-12-03 13:00:00
1.5,6.5,94,12.4,80.1,2004-04-12 11:00:00
2.7,10.8,145,10.5,62.2,2004-10-11 14:00:00
1.2,7.2,37,34.3,24.5,2004-08-28 12:00:00
2.6,12.8,137,20.7,38.0,2004-05-20 22:00:00
0.6,4.4,54,33.1,18.3,2004-10-07 15:00:00
2.9,16.5,149,28.5,27.8,2004-07-16 21:00:00
2.1,6.9,217,4.2,54.0,2005-02-19 11:00:00
0.6,1.4,38,13.6,75.5,2004-11-30 05:00:00
3.4,16.7,110,9.8,59.6,2004-03-26 08:00:00
0.4,5.5,114,17.6,35.5,2005-12-03 16:00:00
-200.0,0.9,-200,8.8,45.2,2004-12-30 04:00:00
2.0,10.5,97,25.9,23.6,2004-05-14 12:00:00
1.2,6.3,138,14.5,28.3,2005-04-02 13:00:00
-200.0,7.6,-200,11.4,30.8,2004-12-31 17:00:00
-200.0,9.7,-200,21.0,30.6,2004-04-14 13:00:00
1.4,7.8,90,15.6,51.9,2004-09-26 02:00:00
1.7,6.7,114,13.6,32.1,2004-11-15 15:00:00
2.0,9.1,176,11.8,13.5,2005-02-03 16:00:00
3.1,9.7,127,6.8,82.8,2004-12-20 00:00:00
0.9,4.6,41,20.6,70.7,2004-10-31 08:00:00
0.4,1.3,-200,10.6,63.1,2004-04-13 03:00:00
1.3,4.3,115,4.0,43.1,2005-01-27 23:00:00
1.6,10.1,86,27.0,57.5,2004-08-13 08:00:00
1.1,8.0,148,10.7,33.1,2005-01-24 15:00:00
1.7,8.9,117,27.1,38.3,2004-06-17 11:00:00
0.4,2.5,-200,22.2,50.7,2004-06-18 03:00:00
1.2,5.4,77,11.6,76.4,2004-04-16 05:00:00
0.6,3.1,50,22.1,49.8,2004-09-21 02:00:00
3.2,13.3,200,19.3,34.7,2005-03-16 11:00:00
1.2,4.8,77,9.0,77.3,2004-11-26 05:00:00
2.1,10.0,131,23.3,35.8,2005-03-21 14:00:00
2.6,13.6,68,19.9,72.6,2004-10-31 23:00:00
-200.0,5.6,-200,12.3,29.7,2004-12-30 16:00:00
1.5,8.8,104,30.2,18.0,2004-06-21 12:00:00
5.9,28.1,149,18.3,44.1,2004-04-15 18:00:00
3.8,17.8,164,21.0,49.8,2005-03-25 17:00:00
2.9,11.0,129,13.9,53.6,2004-03-14 00:00:00
0.5,3.8,-200,22.0,50.5,2004-09-06 03:00:00
4.0,22.6,95,14.0,58.0,2004-04-23 07:00:00
-200.0,2.7,-200,17.8,72.3,2004-04-10 03:00:00
2.1,8.4,167,10.9,44.8,2005-02-25 13:00:00
1.5,5.2,165,5.9,45.4,2005-07-03 08:00:00
1.3,8.8,72,21.5,67.5,2004-10-21 06:00:00
1.0,3.2,111,5.7,49.4,2005-11-03 02:00:00
-200.0,37.1,-200,20.9,62.4,2004-07-10 08:00:00
2.3,8.1,137,6.2,59.6,2005-01-01 21:00:00
3.5,17.5,146,23.9,29.4,2004-05-21 20:00:00
2.7,11.4,126,9.6,81.1,2004-03-24 16:00:00
-200.0,14.8,88,26.2,46.4,2004-02-06 19:00:00
1.8,-200.0,112,-200.0,-200.0,2004-12-17 05:00:00
1.1,3.7,58,8.7,64.3,2004-11-04 08:00:00
1.0,3.5,93,14.4,38.5,2004-03-31 06:00:00
-200.0,4.4,-200,14.8,64.3,2004-10-18 01:00:00
2.7,12.7,163,16.5,21.6,2005-10-03 18:00:00
1.2,3.9,96,13.2,69.9,2005-10-01 02:00:00
2.1,15.7,77,20.6,68.1,2004-01-06 21:00:00
4.8,27.1,164,24.9,30.8,2004-04-23 18:00:00
1.6,8.5,70,31.3,39.5,2004-08-18 20:00:00
0.8,5.6,68,24.7,49.2,2004-09-14 00:00:00
0.4,2.2,29,24.3,48.3,2004-08-17 04:00:00
0.9,2.3,98,7.2,39.3,2005-07-02 23:00:00
2.3,13.5,114,32.5,18.6,2004-05-21 16:00:00
0.9,4.6,-200,24.1,61.8,2004-08-08 03:00:00
0.6,1.9,58,11.9,54.6,2004-10-12 00:00:00
1.6,5.3,168,9.4,32.7,2005-02-15 10:00:00
6.0,28.5,210,11.5,37.5,2005-01-20 18:00:00
1.5,8.4,95,17.2,52.3,2004-05-14 06:00:00
1.8,12.0,89,19.6,66.7,2004-01-06 10:00:00
-200.0,2.9,-200,9.5,80.2,2004-04-20 01:00:00
-200.0,1.5,55,9.8,68.9,2005-12-03 05:00:00
2.7,11.6,112,8.7,74.6,2004-03-25 08:00:00
4.6,20.8,146,21.5,40.8,2004-04-23 20:00:00
-200.0,4.8,-200,15.9,61.0,2004-10-17 08:00:00
0.9,3.6,80,14.9,17.1,2004-12-18 16:00:00
4.5,23.3,198,20.9,39.3,2005-03-21 18:00:00
1.4,-200.0,76,-200.0,-200.0,2004-09-08 16:00:00
2.1,9.7,99,17.3,34.7,2004-03-30 17:00:00
1.6,9.7,99,27.0,39.9,2004-06-19 09:00:00
1.8,9.2,119,19.3,46.3,2004-05-29 00:00:00
0.5,2.1,-200,21.2,43.8,2004-08-24 03:00:00
2.1,11.1,103,33.3,23.9,2004-06-24 18:00:00
-200.0,36.3,-200,18.5,55.9,2004-09-30 08:00:00
2.5,11.6,120,8.8,52.5,2004-11-12 23:00:00
1.2,7.2,76,30.1,18.5,2004-06-21 13:00:00
5.1,27.1,118,9.9,64.3,2004-08-04 08:00:00
0.7,-200.0,-200,-200.0,-200.0,2004-08-27 03:00:00
5.3,24.0,223,16.7,42.5,2005-03-18 20:00:00
4.9,18.3,241,15.5,48.3,2005-03-18 21:00:00
1.6,7.4,71,10.3,65.6,2004-04-14 06:00:00
5.8,26.6,149,10.6,72.7,2004-11-26 09:00:00
4.4,25.9,122,20.7,63.0,2004-10-28 15:00:00
3.3,16.4,130,19.5,50.1,2004-06-12 14:00:00
2.1,10.9,66,19.4,71.4,2004-10-24 02:00:00
4.0,17.4,155,9.7,61.9,2005-04-04 07:00:00
1.2,5.1,74,26.6,50.4,2004-08-13 22:00:00
2.2,10.5,96,13.9,62.7,2004-07-05 19:00:00
1.5,6.2,110,17.1,23.5,2004-10-12 12:00:00
0.9,-200.0,52,-200.0,-200.0,2004-08-26 14:00:00
-200.0,6.8,97,31.7,31.5,2004-07-26 10:00:00
0.5,0.9,53,13.5,50.1,2004-12-04 07:00:00
1.8,-200.0,97,-200.0,-200.0,2004-09-04 01:00:00
2.2,11.4,126,27.2,37.4,2004-01-09 21:00:00
-200.0,5.7,-200,24.0,50.3,2004-03-09 02:00:00
-200.0,1.5,-200,14.6,57.6,2004-10-13 01:00:00
1.7,-200.0,131,-200.0,-200.0,2005-04-01 23:00:00
-200.0,4.9,-200,20.6,59.8,2004-12-09 07:00:00
3.0,10.0,191,9.7,20.6,2005-02-14 21:00:00
3.9,9.5,138,5.3,61.1,2004-12-24 07:00:00
1.6,9.5,115,35.0,17.9,2004-08-24 12:00:00
5.1,26.3,140,14.4,65.8,2005-03-29 08:00:00
2.2,10.5,104,21.3,50.5,2004-09-19 00:00:00
0.3,5.0,106,15.2,18.7,2004-11-21 15:00:00
-200.0,11.2,-200,15.2,55.9,2004-10-13 17:00:00
3.0,-200.0,172,-200.0,-200.0,2005-04-01 15:00:00
1.1,2.1,80,6.6,61.9,2005-02-21 01:00:00
0.8,2.3,48,15.1,43.9,2004-04-25 09:00:00
2.5,14.9,142,29.3,34.8,2004-06-18 10:00:00
-200.0,11.5,-200,27.1,24.2,2004-05-27 12:00:00
3.5,14.7,200,10.4,18.0,2005-02-14 20:00:00
0.5,2.4,34,16.6,80.2,2004-06-06 05:00:00
1.8,13.0,91,28.5,38.4,2004-07-23 23:00:00
2.2,13.7,173,35.5,25.7,2004-02-08 18:00:00
3.2,18.3,142,23.7,31.0,2004-04-23 10:00:00
3.6,20.9,99,20.6,62.3,2004-01-09 07:00:00
1.5,6.3,128,15.3,73.3,2005-03-25 01:00:00
-200.0,37.9,-200,19.9,69.9,2004-10-20 08:00:00
2.1,6.8,145,4.0,69.8,2005-02-26 01:00:00
-200.0,5.6,-200,14.9,73.8,2004-10-19 04:00:00
-200.0,3.0,52,7.8,70.4,2004-11-04 04:00:00
-200.0,3.6,-200,18.6,38.8,2004-05-27 02:00:00
1.0,-200.0,67,-200.0,-200.0,2004-08-27 02:00:00
-200.0,4.1,-200,14.7,68.4,2004-09-05 13:00:00
2.5,17.3,91,20.8,48.0,2004-06-21 07:00:00
3.5,16.9,-200,8.3,76.5,2004-09-11 18:00:00
1.2,3.6,77,11.3,56.8,2004-11-03 00:00:00
2.2,10.7,58,17.5,73.2,2004-03-11 02:00:00
0.2,0.5,26,8.1,68.6,2004-10-11 05:00:00
-200.0,22.8,-200,7.1,62.0,2004-09-11 09:00:00
3.2,16.4,135,23.5,58.3,2004-10-30 15:00:00
0.7,4.4,57,21.4,75.5,2004-06-08 05:00:00
2.1,11.6,129,19.8,48.6,2004-09-28 21:00:00
6.6,30.8,154,15.3,73.6,2004-02-12 21:00:00
-200.0,10.5,-200,25.8,26.1,2004-04-21 13:00:00
1.9,7.3,112,8.3,76.4,2004-11-03 13:00:00
-200.0,5.7,-200,30.8,43.1,2004-08-20 19:00:00
4.4,24.2,166,30.2,29.0,2004-06-23 19:00:00
1.1,2.4,111,7.9,38.9,2005-02-27 17:00:00
-200.0,2.2,-200,24.3,46.3,2004-08-21 04:00:00
0.4,1.4,30,15.6,44.4,2004-07-04 02:00:00
4.6,27.5,95,12.7,65.6,2004-11-05 07:00:00
3.2,14.5,168,17.5,30.8,2004-12-12 15:00:00
1.0,2.5,56,16.6,38.6,2004-04-25 10:00:00
3.0,5.2,142,6.8,58.0,2005-02-26 19:00:00
2.6,13.1,-200,29.5,33.4,2004-03-09 21:00:00
2.0,12.0,108,30.3,23.3,2004-05-20 12:00:00
3.0,10.8,196,20.8,31.3,2005-03-17 11:00:00
3.2,-200.0,169,-200.0,-200.0,2005-02-01 22:00:00
-200.0,7.8,-200,25.0,57.0,2004-04-08 06:00:00
0.6,2.0,107,10.7,42.8,2005-02-04 06:00:00
2.5,9.7,117,11.8,56.6,2004-10-04 23:00:00
1.6,9.4,106,40.1,14.9,2004-07-17 17:00:00
-200.0,10.0,89,28.3,36.8,2004-07-21 00:00:00
-200.0,44.0,-200,24.5,49.5,2004-06-10 19:00:00
2.1,9.4,99,17.8,29.2,2004-03-27 11:00:00
0.8,1.9,72,8.4,48.6,2005-02-20 05:00:00
2.1,9.8,98,11.4,59.1,2004-10-11 15:00:00
-200.0,11.7,118,29.7,28.1,2004-07-29 20:00:00
-200.0,3.1,-200,11.1,65.3,2004-12-28 01:00:00
-200.0,17.5,-200,24.6,60.3,2004-12-09 20:00:00
1.4,5.4,101,14.7,52.5,2004-09-12 11:00:00
0.4,6.4,125,7.2,42.8,2004-11-21 10:00:00
-200.0,8.8,-200,27.3,44.5,2004-08-28 21:00:00
0.8,1.5,50,9.5,73.3,2004-11-28 07:00:00
5.4,26.5,180,12.0,51.0,2005-03-18 09:00:00
0.7,3.4,45,24.4,58.6,2004-07-08 02:00:00
1.3,7.7,56,21.3,68.2,2004-10-10 07:00:00
2.9,15.3,127,26.8,35.1,2004-06-15 20:00:00
1.0,7.5,54,22.5,49.0,2004-09-06 01:00:00
1.9,8.1,173,13.7,48.6,2005-03-17 23:00:00
4.2,19.9,193,19.3,46.2,2005-03-30 19:00:00
1.4,5.3,124,26.5,16.4,2005-03-04 12:00:00
6.2,36.7,155,18.6,46.8,2004-05-19 08:00:00
1.0,5.1,65,28.2,36.6,2004-08-16 23:00:00
-200.0,13.5,-200,25.8,26.5,2004-03-04 16:00:00
-200.0,15.1,-200,26.5,50.4,2004-05-08 08:00:00
0.2,0.5,39,5.3,38.8,2004-12-21 04:00:00
2.7,14.7,146,14.6,63.7,2004-11-24 15:00:00
-200.0,3.8,-200,15.3,55.4,2004-10-13 23:00:00
3.5,16.9,132,13.8,53.4,2004-03-23 13:00:00
-200.0,7.8,-200,16.1,56.0,2004-04-17 19:00:00
-200.0,1.8,-200,24.8,52.2,2004-08-30 03:00:00
0.6,1.3,63,14.6,56.7,2004-09-12 07:00:00
4.0,21.3,127,4.4,81.3,2004-11-25 08:00:00
5.6,14.2,164,9.6,65.9,2004-12-25 01:00:00
-200.0,16.0,-200,22.2,43.2,2004-10-18 12:00:00
4.2,18.8,179,11.8,44.4,2005-01-02 14:00:00
-200.0,6.9,-200,23.5,59.8,2004-08-29 01:00:00
-200.0,4.7,-200,21.7,56.4,2004-08-22 08:00:00
4.5,20.6,179,24.1,29.9,2004-05-20 20:00:00
1.8,11.1,101,21.4,48.0,2004-03-07 07:00:00
6.4,35.7,243,9.4,69.1,2005-01-21 21:00:00
2.7,16.6,137,35.3,18.8,2004-06-15 16:00:00
0.4,0.8,-200,9.9,54.3,2004-11-14 03:00:00
1.4,5.6,110,12.3,35.8,2004-10-12 08:00:00
1.4,7.8,82,16.8,79.0,2004-10-30 06:00:00
2.0,7.8,110,10.0,61.8,2004-11-25 22:00:00
1.7,9.9,113,29.9,31.1,2004-03-07 10:00:00
0.8,3.8,137,3.2,52.4,2005-02-16 05:00:00
4.5,25.0,170,30.8,27.2,2004-08-06 19:00:00
1.4,7.9,79,19.8,63.7,2004-10-26 22:00:00
2.6,14.2,107,25.6,61.2,2004-06-08 10:00:00
-200.0,4.7,-200,22.1,35.2,2004-10-17 15:00:00
-200.0,13.4,-200,16.5,58.2,2004-04-19 13:00:00
2.1,9.0,206,8.9,33.8,2005-02-16 10:00:00
-200.0,23.1,-200,9.5,57.9,2004-08-11 20:00:00
3.0,14.1,161,20.9,43.4,2005-03-24 14:00:00
1.3,8.4,83,20.8,62.2,2004-09-24 06:00:00
6.9,32.6,173,17.7,68.3,2004-03-12 17:00:00
1.7,10.0,95,21.1,58.3,2004-09-16 12:00:00
-200.0,5.4,-200,19.8,35.4,2004-08-05 16:00:00
3.5,18.1,132,17.9,42.2,2005-03-24 10:00:00
1.3,8.2,55,20.6,67.5,2004-09-10 06:00:00
-200.0,3.3,35,14.8,65.8,2004-02-05 04:00:00
2.6,13.5,138,17.9,45.9,2004-03-16 22:00:00
2.4,8.9,153,10.9,35.9,2005-01-01 14:00:00
2.0,9.4,100,17.8,55.5,2004-01-05 21:00:00
2.2,14.0,162,31.0,17.1,2004-09-07 18:00:00
2.4,10.7,133,14.9,24.9,2004-11-12 18:00:00
7.8,35.9,272,16.0,41.5,2004-11-17 17:00:00
3.6,19.5,113,20.8,58.7,2004-06-11 17:00:00
2.8,10.7,216,5.0,46.6,2005-02-16 22:00:00
1.1,4.0,117,18.6,26.6,2005-02-04 18:00:00
-200.0,2.6,56,19.7,51.4,2004-05-07 04:00:00
0.8,3.5,73,15.3,51.9,2004-09-28 01:00:00
3.8,19.0,201,7.5,58.8,2004-11-17 09:00:00
0.6,3.2,17,37.3,20.5,2004-08-15 13:00:00
1.2,6.8,60,26.6,30.6,2004-08-23 22:00:00
1.5,6.5,114,21.4,36.4,2005-03-31 17:00:00
2.4,8.2,125,12.6,76.5,2004-12-17 22:00:00
8.1,31.6,205,14.6,67.7,2004-11-26 21:00:00
1.3,6.7,92,21.7,50.8,2004-08-06 00:00:00
1.4,3.6,150,4.5,75.5,2005-02-22 22:00:00
0.6,1.3,31,10.7,45.8,2004-03-29 01:00:00
1.7,6.7,135,7.8,36.8,2004-12-21 12:00:00
1.9,9.5,71,29.4,53.1,2004-12-08 09:00:00
2.0,6.2,122,4.8,79.4,2005-01-15 02:00:00
4.1,20.5,126,24.6,45.3,2004-06-24 23:00:00
3.4,17.6,173,14.6,54.0,2005-12-01 17:00:00
2.2,10.3,235,11.5,33.0,2005-03-02 12:00:00
3.4,14.4,177,18.9,34.4,2005-03-14 17:00:00
2.8,15.3,94,18.2,71.4,2004-10-27 20:00:00
3.5,15.7,163,10.8,64.4,2005-03-14 08:00:00
1.6,4.9,155,6.0,42.0,2005-02-27 19:00:00
1.6,5.9,128,15.6,54.0,2005-06-01 12:00:00
0.4,2.0,45,17.1,52.5,2004-09-29 05:00:00
1.0,2.0,92,7.2,34.2,2005-01-30 12:00:00
4.7,24.5,162,12.9,61.5,2005-11-01 20:00:00
3.9,20.3,114,12.6,70.2,2004-02-04 08:00:00
3.3,12.1,133,21.5,43.1,2004-11-13 14:00:00
1.6,6.3,-200,6.9,80.7,2005-01-13 03:00:00
1.4,7.8,57,31.4,40.7,2004-11-08 20:00:00
5.2,20.8,178,16.7,58.0,2004-12-11 19:00:00
-200.0,13.4,-200,22.0,54.0,2004-10-19 14:00:00
0.3,0.8,-200,7.9,68.0,2004-10-11 03:00:00
4.0,23.0,181,37.1,21.3,2004-07-22 19:00:00
-200.0,13.9,122,32.0,24.9,2004-07-29 19:00:00
0.7,-200.0,73,-200.0,-200.0,2005-09-02 02:00:00
1.6,9.7,74,21.2,65.7,2004-10-22 22:00:00
2.5,14.3,120,26.8,45.1,2004-01-07 23:00:00
-200.0,9.2,-200,12.7,56.7,2004-12-28 11:00:00
1.2,7.5,81,25.8,12.9,2004-05-24 15:00:00
0.9,2.7,59,10.2,71.6,2004-08-11 00:00:00
2.5,14.2,121,27.4,28.2,2004-04-28 12:00:00
1.2,3.7,169,3.9,79.5,2005-02-23 12:00:00
2.0,7.0,164,1.5,66.2,2005-05-02 04:00:00
-200.0,-200.0,83,-200.0,-200.0,2005-09-02 04:00:00
0.9,3.8,110,10.1,64.3,2005-03-15 07:00:00
0.4,4.4,109,9.9,79.8,2005-01-19 02:00:00
5.1,-200.0,198,-200.0,-200.0,2004-12-17 11:00:00
6.0,19.9,140,13.8,78.0,2004-04-16 20:00:00
2.7,13.3,149,31.6,39.4,2004-01-07 10:00:00
1.1,4.9,74,11.5,61.4,2004-04-14 00:00:00
1.3,4.6,110,12.8,22.5,2004-10-12 22:00:00
-200.0,10.2,-200,18.4,74.6,2004-10-20 05:00:00
3.7,20.0,172,26.8,42.7,2004-09-22 10:00:00
0.4,1.2,31,18.1,79.0,2004-10-31 06:00:00
0.7,-200.0,58,-200.0,-200.0,2004-08-28 01:00:00
-200.0,5.6,-200,33.0,38.1,2004-08-20 18:00:00
0.7,2.5,-200,6.9,82.3,2004-10-11 01:00:00
2.0,13.4,125,37.6,21.1,2004-06-18 14:00:00
0.9,5.5,55,16.4,62.2,2004-02-05 02:00:00
-200.0,0.5,35,2.8,54.4,2005-01-26 06:00:00
-200.0,10.4,-200,21.5,46.7,2004-10-14 16:00:00
0.9,4.7,92,39.7,19.1,2004-01-08 16:00:00
1.2,7.2,68,36.0,20.5,2004-12-06 14:00:00
1.7,8.0,89,31.6,25.5,2004-07-09 11:00:00
2.3,15.2,103,18.5,70.3,2004-01-06 09:00:00
1.3,16.9,186,14.9,49.9,2005-01-22 14:00:00
2.2,16.3,137,20.9,43.6,2004-05-31 09:00:00
1.0,2.4,95,20.5,21.9,2005-02-04 13:00:00
0.6,2.0,61,13.1,63.4,2005-09-01 08:00:00
1.0,5.8,90,21.7,18.1,2004-05-24 10:00:00
3.6,17.5,-200,25.7,31.8,2004-04-06 19:00:00
0.6,4.4,163,3.5,47.5,2005-01-26 09:00:00
2.6,13.1,84,20.0,69.5,2004-10-23 23:00:00
-200.0,11.0,-200,18.7,34.8,2004-04-14 17:00:00
1.4,5.6,88,29.9,37.9,2004-07-24 19:00:00
2.4,-200.0,68,-200.0,-200.0,2004-08-27 07:00:00
2.4,-200.0,109,-200.0,-200.0,2004-09-04 00:00:00
0.5,2.1,37,18.9,71.3,2004-10-31 05:00:00
-200.0,5.4,134,6.2,72.3,2005-01-23 23:00:00
1.2,4.6,138,22.8,21.7,2005-03-04 18:00:00
-200.0,5.2,-200,23.7,56.5,2004-07-31 03:00:00
